form	lemma	POS	morph
Spero	Spero	_	_
me	me	_	_
secutum	secutum	_	_
in	in	_	_
libellis	libellis	_	_
meis	meis	_	_
tale	tale	_	_
temperamen	temperamen	_	_
tum	tum	_	_
ut	ut	_	_
de	de	_	_
illis	illis	_	_
queri	queri	_	_
non	non	_	_
possit	possit	_	_
quisquis	quisquis	_	_
de	de	_	_
se	se	_	_
bene	bene	_	_
senserit	senserit	_	_
cum	cum	_	_
salva	salva	_	_
infimarum	infimarum	_	_
quoque	quoque	_	_
personarum	personarum	_	_
re	re	_	_
verentia	verentia	_	_
ludant	ludant	_	_
quae	quae	_	_
adeo	adeo	_	_
antiquis	antiquis	_	_
auctoribus	auctoribus	_	_
defuit	defuit	_	_
ut	ut	_	_
nominibus	nominibus	_	_
non	non	_	_
tantum	tantum	_	_
veris	veris	_	_
abusi	abusi	_	_
sint	sint	_	_
sed	sed	_	_
et	et	_	_
magnis	magnis	_	_
Mihi	Mihi	_	_
fama	fama	_	_
vilius	vilius	_	_
constet	constet	_	_
et	et	_	_
probetur	probetur	_	_
in	in	_	_
me	me	_	_
novissimum	novissimum	_	_
ingenium	ingenium	_	_
Absit	Absit	_	_
a	a	_	_
iocorum	iocorum	_	_
nostrorum	nostrorum	_	_
simplicitate	simplicitate	_	_
ma	ma	_	_
lignus	lignus	_	_
interpres	interpres	_	_
nec	nec	_	_
epigrammata	epigrammata	_	_
mea	mea	_	_
scribat	scribat	_	_
inprobe	inprobe	_	_
facit	facit	_	_
qui	qui	_	_
in	in	_	_
alieno	alieno	_	_
libro	libro	_	_
ingeniosus	ingeniosus	_	_
est	est	_	_
Lascivam	Lascivam	_	_
ver	ver	_	_
borum	borum	_	_
veritatem	veritatem	_	_
id	id	_	_
est	est	_	_
epigrammaton	epigrammaton	_	_
linguam	linguam	_	_
excu	excu	_	_
sarem	sarem	_	_
si	si	_	_
meum	meum	_	_
esset	esset	_	_
exemplum	exemplum	_	_
sic	sic	_	_
scribit	scribit	_	_
Catullus	Catullus	_	_
sic	sic	_	_
Marsus	Marsus	_	_
sic	sic	_	_
Pedo	Pedo	_	_
sic	sic	_	_
Gaetulicus	Gaetulicus	_	_
sic	sic	_	_
quicumque	quicumque	_	_
perlegi	perlegi	_	_
tur	tur	_	_
Si	Si	_	_
quis	quis	_	_
tamen	tamen	_	_
tam	tam	_	_
ambitiose	ambitiose	_	_
tristis	tristis	_	_
est	est	_	_
ut	ut	_	_
apud	apud	_	_
illum	illum	_	_
in	in	_	_
nulla	nulla	_	_
pagina	pagina	_	_
latine	latine	_	_
loqui	loqui	_	_
fas	fas	_	_
sit	sit	_	_
potest	potest	_	_
epistula	epistula	_	_
vel	vel	_	_
potius	potius	_	_
titulo	titulo	_	_
contentus	contentus	_	_
esse	esse	_	_
Epigrammata	Epigrammata	_	_
illis	illis	_	_
scri	scri	_	_
buntur	buntur	_	_
qui	qui	_	_
solent	solent	_	_
spectare	spectare	_	_
Florales	Florales	_	_
Non	Non	_	_
intret	intret	_	_
Cato	Cato	_	_
theatrum	theatrum	_	_
meum	meum	_	_
aut	aut	_	_
si	si	_	_
intraverit	intraverit	_	_
spectet	spectet	_	_
Videor	Videor	_	_
mihi	mihi	_	_
meo	meo	_	_
iure	iure	_	_
facturus	facturus	_	_
si	si	_	_
epistulam	epistulam	_	_
versibus	versibus	_	_
clusero	clusero	_	_
Nosses	Nosses	_	_
iocosae	iocosae	_	_
dulce	dulce	_	_
cum	cum	_	_
sacrum	sacrum	_	_
Florae	Florae	_	_
Festosque	Festosque	_	_
lusus	lusus	_	_
et	et	_	_
licentiam	licentiam	_	_
volgi	volgi	_	_
Cur	Cur	_	_
in	in	_	_
theatrum	theatrum	_	_
Cato	Cato	_	_
severe	severe	_	_
venisti	venisti	_	_
An	An	_	_
ideo	ideo	_	_
tantum	tantum	_	_
veneras	veneras	_	_
ut	ut	_	_
exires	exires	_	_
