abactus	m
abacus	m
abaris_n	m
abascantus_n	m
abas_n	m
abauus	m
abdagaeses_n	???
abdalonymus_n	m
abdera_n	n
abditum	???
abdomen	n
abducillus_n	???
abdus_n	m
abella_n	f
abgarus_n	m
abiectio	
abies	m
abii_n	*
abisares_n	m
abisares_n	m
abistamenes_n	m
abitus	m
abnepos	???
abnoba_n	m
abolitio	f
abolla	f
aborigines_n	m
abortio_1	
abortus	m
abrotonum	n
abrotonus	m
abruptum	???
abscessus	m
absentia	f
absinthium	n
absolutio	f
abstinentia	f
absumedo	f
abudius_n	*
abulites_n	m
abundans_1	*
abundantia	f
abydus_n	*
acacia	f
academia_n	f
academica_n	???
academici_n	m
academus_n	m
acadira_n	???
acanthis_n	f
acanthus	m
acarnanes_n	???
acarnania_n	f
acastus_n	m
acca_n	f
accensus_1	m
acceptio	f
acceptum	n
accessio	f
accessus	m
accidens	n
accipiter	m
accipitrina	f
accitus	m
accius_n	m
acclamatio	f
accliuitas	f
accola	f
accommodatio	f
acco_n	m
accubitio	f
accumulator	m
accursus	m
accusatio	f
accusator	m
accusatrix	f
acerbitas	f
acerbum	n
acerra	m
acerrae_n	f
acerronia_n	f
acerronius_n	*
aceruus	???
acer_1	m
acesines_n	m
acesta_n	n
acestenses_n	2
acestes_n	m
acetabulum	n
acetum	n
achaei_n	*
achaemenes_n	m
achaemenides_n	m
achaeus_n	*
achaia_n	f
achaici_n	masculin
achates_n	m
achates_n	m
achelous_n	m
acheron_n	m
acheruntia_n	f
achillas_n	m
achilles_n	m
achilles_n	m
achiui_n	*
achradina_n	f
acia	f
acidalia_n	f
acidinus_n	m
acies	f
acilianus_n	*
acilia_n	2
acilius_n	*
acina	f
acinaces	m
acinum	n
acinus	m
acipenser	???
aclys	f
acmonenses_n	3
acmonides_n	m
acoenonoetus	m
aconitum	n
aconteus_n	m
acontius_n	m
acor	m
acratus_n	m
acrimonia	f
acrisius_n	*
acroama	n
acroceraunia_n	f
acropolistis_n	f
acta	f
actio	f
actium_n	n
actiuncula	f
actor	m
actor_n	m
actuaria	f
actuarius_1	*
actum	n
actumerus_n	4
actus_1	m
aculeus	m
acumen	n
acus_2	m
acus_3	m
acutia_n	f
acutius_n	*
acutum	n
acylla_n	f
acyllitani_n	3
adactus	m
adamas	m
adamastus_n	m
adauctus	*
adaugmen	n
addictio	f
additamentum	n
adelphi_n	m
ademptio	
adeps	2
adgandestrius_n	m
adhaesus	m
adherbal_n	m
adhortatio	f
adiabeni_n	*
adiatuanus_n	4
adiectio	
adiectus	m
adimantus_n	m
adipatum	n
adipes	???
aditus	m
adiumentum	n
adiutorium	n
adiutor_1	m
adiutrix	f
adiutrix_n	f
admetus_n	m
adminiculum	n
administer	m
administra	f
administratio	f
admirabilitas	f
admiratio	f
admirator	m
admissarius	*
admissio	f
admissum	n
admixtio	f
admonitio	f
admonitus	m
admurmuratio	f
adolescens_1	???
adolescentia	???
adolescentula	f
adolescentulus	m
adoneus_n	*
adonis_n	???
adoptatio	f
adoptio	f
ador	2
adorea	f
adramytteum_n	n
adrana_n	f
adrastus_n	m
aduatici_n	*
aduatuca_n	f
aduectus	m
aduena	2
aduenticia	f
aduenticium	neutre
aduentor	m
aduentus	m
aduersaria	n
aduersarius_1	*
aduersum	n
adulatio	f
adulator	m
adulescentia	f
adultera	f
adulterium	n
adulter_1	*
aduocatio	f
aduocatus	m
adytum	n
aeacides_n	m
aeacides_n	m
aeacus_n	m
aebutius_n	*
aecus_n	masculin
aedes	m
aedicula	f
aedificatio	f
aedificator	m
aedificium	n
aedilicius_1	*
aedilis	m
aedilitas	f
aedituens	m
aeditumus	m
aedituus	m
aedui_n	*
aeetes_n	f
aefula_n	f
aegaeum_n	n
aegaleus_n	???
aegeae_n	f
aeger_1	*
aegeus_n	*
aegialus_n	m
aegides_n	m
aegimurus_n	m
aegina_n	f
aeginetae_n	m
aeginium_n	n
aegis	f
aegisthus_n	m
aegium_n	n
aegoceros_n	m
aegon_n	m
aegrimonia	f
aegritomarus_n	m
aegritudo	f
aegror	m
aegrotatio	f
aegrum	n
aegyptii_n	m
aegyptus_n	2
aelianus_n	*
aelia_n	f
aelius_n	*
aelurus	m
aemilianus_n	*
aemilia_n	???
aemilius_n	*
aemula	f
aemulatio	f
aemulator	m
aemulatus	m
aemulus_1	*
aeneadae_n	???
aeneas_n	m
aeneator	m
aeneum	n
aenigma	f
aenobarbus_n	m
aenum	n
aenus_n	2
aeolia_n	f
aeolis_n	f
aeolus_n	m
aequabilitas	f
aequalis_1	m
aequalitas	f
aequanimitas	f
aequatio	f
aequimaelium_n	n
aequinoctium	n
aequitas	f
aequi_n	*
aequor	n
aequor_n	n
aequum	n
aequus_n	*
aer	m
aeraria	f
aerarium	n
aerarius_1	*
aeria_n	f
aerugo	f
aerumna	f
aes	
aeschines_n	m
aeschrion_n	m
aeschylus_n	m
aesculapius_n	*
aesculetum	n
aesculus	m
aeserninus_n	*
aesopus_n	m
aestas	f
aestii_n	*
aestimatio	f
aestimator	m
aestiua	n
aestuarium	n
aestus	m
aetas	f
aetatula	f
aeternitas	f
aeternum_1	neutre
aether	m
aethiopes_n	3
aethiopia_n	f
aethra	f
aethra_n	f
aetidemus_n	4
aetna_n	f
aetnenses_n	2
aetolia_n	f
aetolis_n	f
aetoli_n	*
aeuum	n
aeuus	*
afer_n	*
affabilitas	f
affatus	m
affectatio	f
affectator	m
affectio	f
affectus_1	m
affinis_1	*
affinitas	f
affirmatio	f
afflatus	m
afflictatio	f
afflictor	m
affluentia	f
afinius_n	4
afraniani_n	???
afranius_n	*
africana_n	f
africani_n	*
africanus_n	*
africa_n	f
africus_n	*
afri_n	3
agaga	f
agamemnonides_n	m
agamemnon_n	???
agaso	m
agathinus_n	4
agathocles_n	m
agatho_n	m
agathyrsi_n	*
agedincum_n	n
agellus	*
agenor_n	m
agens_1	m
ager	m
agermus_n	4
ager_n	m
agesilaus_n	m
aggar_n	2
agger	m
aggestus	m
agilitas	f
agis_n	m
agitatio	f
agitator	m
agmen	n
agna	f
agnalia_n	n
agnatus	m
agnellus	*
agnina	f
agnus	m
agon	m
agonia	n
agonia_n	n
agonis_n	f
agoranomus	m
agrarii	m
agrestis_1	*
agrestis_n	*
agrianes_n	m
agriani_n	3
agricola	m
agricola_n	m
agricultor	???
agricultura	f
agrigentini_n	*
agrigentum_n	n
agrippa_n	m
agrippina_n	f
agrippinenses_n	m
agrippinus_n	*
agrius_n	*
agyllini_n	???
agyrinenses_n	2
agyrium_n	n
ahala_n	m
ahenobarbus_n	m
aiax_n	m
ala	f
alabanda_n	n
alabaster	???
alacritas	f
alani_n	*
alapa	f
alarii	m
alaudae_n	f
albana_n	f
albani_n	*
albanum_n	n
alba_n	f
albesius_n	4
albici_n	*
albina_n	2
